p_archivos,ej5-load,ej5-merge,ej6
40,59075030,222505832,82436244
41,51156305,218978933,82201150
42,44180815,220903702,82329332
43,42459209,218343197,81579965
44,49668219,220135375,80898793
45,45085789,218771490,80835095
46,48317431,218889672,81437493
47,39510367,222092724,82166106
48,47292768,224472958,90318060
49,57877191,241277848,89830558
50,55801386,246093042,91161065
51,58555338,241481823,90218844
52,56043893,242734364,90304679
53,45802358,243018181,90715478
54,46359990,244580473,90362756
55,52987994,241794333,97101441
56,47334182,243025500,91004662
57,50695575,244725703,90370593
58,54167565,244741601,102952465
59,56838354,319269709,121064827
60,57456625,320845387,120373533
61,64390290,323234569,119116429
62,61249683,323299702,121126561
63,66540838,324237555,119780436
64,61524629,320481522,120594379
65,56065851,321177563,120370405
66,51410988,320254041,110177826
67,54983723,284925231,105564613
68,53371255,282989915,105653502
69,62469375,280492516,106489154
70,56423256,280924955,104240572
71,57282616,283434336,105721218
72,38335817,280836710,105291330
73,47929688,283022538,104852636
74,44992096,286123685,113091498
75,48478744,283411066,96616091
76,39888342,242632121,90129643
77,44510641,243650506,90717843
78,43756579,244369118,90427309
79,35913216,242679696,89378687
80,44194569,240468934,90593444
81,50570024,241243174,90839695
82,51639625,242360051,90842593
83,44242163,244938895,90872189
84,46588474,245891674,90290571
85,42180163,242100432,89972182
86,45593520,227764882,81720998
87,38550225,224307189,81785922
88,48808913,221402694,82594763
89,45149288,221765727,81558699
90,37277932,233123928,81752989
91,48881606,225723669,81600545
92,42630583,222950134,82917907
93,31728132,221553512,82054682
94,46314875,221498256,82957758
95,41519360,220671665,82240330
96,36965947,220691717,83303212
97,39261235,219244182,87962269
98,45028934,245228847,91152859
99,45318178,244574765,90857596
100,44205609,242246320,91835575
1,298283508,60431189,292573648
2,133158409,174254167,168954515
3,80040207,208304819,123315998
4,54410309,222829187,93332549
5,56747460,206892003,91474585
6,78719251,211905122,90032089
7,87220323,213284793,88700274
8,91026322,216355142,88762508
9,87560382,214730205,86965559
10,71905352,212121732,86043732
11,89978097,215220469,85914829
12,84836682,215557450,85991680
13,86923593,220192115,85209312
14,85259761,218649543,84823735
15,78372542,242020315,94976917
16,81666555,239103351,93591613
17,69888286,240688870,92381822
18,66365942,241711622,93194805
19,70532020,242433844,93091963
20,57622924,238903906,92653186
21,67899086,239902289,92440815
22,62156499,243352057,92240901
23,58363622,240027497,93020005
24,55383382,240654306,91490851
25,57776619,217493173,82282405
26,53407650,216305145,83142347
27,53842240,221473356,83613603
28,58352418,219787429,82119352
29,56188042,219924044,82067583
30,55700305,219760978,82679047
31,47402334,222979432,82788597
32,53836992,219256878,81963540
33,53531890,218975588,82543812
34,58790187,216448331,82770883
35,54088934,218372155,83122586
36,51992719,239189254,92161333
37,55676661,244801697,90291701
38,48776954,243602745,90708770
39,52878514,244578250,91239355
40,51004090,244200086,91995266
41,52393563,242881384,91096567
42,49662571,240845503,92280701
43,46649256,241366304,90572901
44,53250300,240520638,91251182
45,55398501,241456123,91064038
46,52226479,258111060,120918287
47,62064325,323499515,119767513
48,71127503,324633332,122121839
49,68536198,318664340,122856473
50,68604891,323470440,123944228
51,57113708,321125432,120083270
52,67073491,320156821,120852432
53,57861448,324166842,120932674
54,66245865,303837452,106541960
55,53120610,284978007,105798576
56,57257210,280560804,107530130
57,64269132,279311248,105622486
58,60685465,282562622,106114531
59,67758309,283399930,105408076
60,52728901,281455237,106465420
61,65388145,285562259,106640805
62,57357114,281613219,105527616
63,46946791,258138620,90603400
64,50288066,245638730,89888807
65,60997751,243759786,90743021
66,46293041,244161639,90669365
67,49777764,244280639,91707639
68,49776925,242093788,91447821
69,55387898,243065143,89784098
70,45048069,241921923,90289520
71,42812485,242294622,90433689
72,51158339,242544787,90342583
73,53424407,243964635,81436889
74,43382845,219450733,81930862
75,40118325,220345827,83481239
76,47007887,221672231,82416408
77,45055636,219916899,80938234
78,42843243,220454706,83372402
