p_archivos,ej5-load,ej5-merge,ej6
37,205844776,347672256,161371240
38,187501586,300551669,163823108
39,189783149,342135205,145683989
40,241576706,473104557,218289207
41,236031912,400635921,192429777
42,242710773,460154188,219387175
43,251765186,473382400,211382206
44,242364459,432085864,191495696
45,220449570,353978190,193191307
46,216446745,415038020,187087992
47,209965901,358312933,186862910
48,225140008,349924613,183021394
49,223855028,326323036,157954309
50,203956952,308450015,157294628
51,192667718,351375231,158900643
52,182232635,300225798,158223926
53,194978035,354189503,159495770
54,199989883,354835065,154199586
55,196064578,282466466,142519920
56,185165557,309867293,143640967
57,183951877,321335522,141099205
58,184212296,309909654,141688464
59,181385892,324188468,143703270
60,179817506,321171039,142106796
61,194565887,331571681,155844460
62,195452134,356401764,149392207
63,186052299,307200764,159513743
64,202841275,356965165,158308587
65,203605575,333115361,152387068
66,185539298,348546096,148448355
67,198646987,372369499,214088523
68,247298323,453187848,209842181
69,262928549,414930094,202909261
70,250768760,474916175,201607174
71,238194647,473842690,170850107
72,232861740,375572497,174706430
73,230795879,416082371,177946693
74,219856340,411251056,173575804
75,224971945,415220207,181642755
76,242779337,364130271,165779327
77,203996870,357404560,156219812
78,193012708,350126292,147963446
79,194583597,356696308,149358318
80,212659605,360876089,152502770
81,182902983,323333015,149353467
82,194893984,340935260,132919312
83,183348295,314698793,137698605
84,199440070,307014876,131035234
85,200300089,322301565,143122016
86,164887095,323482182,135045584
87,166336586,278276674,138400440
88,183026259,323241817,143820845
89,197869384,358223267,145674799
90,192125168,375653413,148205293
91,196615325,354981466,155129072
92,204373129,358994534,153504564
93,217686582,358000748,154625001
94,213451706,398809727,187762369
95,241942952,423426779,210257193
96,239469951,410810020,217138006
97,247813176,433977022,189826876
98,275125469,479332934,194863118
99,204340106,362168756,162041228
100,226471765,415154479,167729338
1,504485209,36086937,503316744
2,255194375,222846108,325371739
3,174251997,286385784,236030981
4,110228185,271281556,191075263
5,110504025,271445233,187220672
6,117011734,271876332,186171544
7,110765568,272342502,181133374
8,123172135,281800767,175744309
9,124395874,339508096,173458834
10,112552566,360201800,199861653
11,157721813,397161173,198919064
12,157764358,326039326,200567875
13,159617201,401121185,202372935
14,162769262,401161031,201893776
15,167349866,401457001,188548863
16,147461739,343865915,172188190
17,147807017,283508143,162250051
18,144838741,280226853,162989159
19,147134596,287568772,166641735
20,151888741,280362009,162231223
21,143247388,347657670,158792746
22,154156024,395654339,187681945
23,168084522,402876422,180718790
24,178933955,402671084,193932645
25,169699750,346765903,181689664
26,172096493,339836175,192148462
27,190771887,394262261,165471794
28,162807773,342282524,153315494
29,165349422,291281950,163762713
30,166810806,354966026,151719988
31,171441951,348016703,165235485
32,183209911,348119342,164315133
33,184460123,358243913,185850442
34,202219853,401048796,190513644
35,209651602,408641077,193313760
36,206432271,404854824,192315641
37,209076809,348957269,188143220
38,208328794,368518811,160015693
39,188626745,347801688,159539816
40,194889577,344401721,160691285
41,187328354,355063245,163653821
42,191825838,346253196,154876512
43,191240523,354892927,142566585
44,187366474,381396595,186437730
