p_archivos,ej5-load,ej5-merge,ej6
18,9206955,14862893,10130012
19,10049886,16185760,10952061
20,10608160,16096307,10708723
21,12467900,17602975,11522659
22,10772137,16175983,10986527
23,8721426,14074698,11973790
24,9104601,14700345,11231064
25,10949900,15283225,10368497
26,11247466,15857751,10276886
27,9585068,14401730,10701482
28,9255867,14429302,11824193
29,9130924,14514051,10596046
30,13483383,18284603,10766860
31,14935060,19058109,10636671
32,11320335,17382877,12148379
33,9907507,14253871,11459821
34,12556580,17798919,10449335
35,13314564,17022495,11340553
36,12564035,17984552,10497414
37,12559858,16599173,12048517
38,11565816,15346913,10406166
39,12851706,17546109,10958710
40,11811890,17159302,13141660
41,13478879,16658703,10675685
42,13732992,17532715,10532641
43,11781214,15617710,10783244
44,10141510,15987668,10488373
45,13572564,17161430,10802956
46,16013351,17439881,11804657
47,9966038,17142813,12436982
48,11065278,17109826,12429470
49,9787621,15786337,11577170
50,11587798,17269848,10429082
51,12803374,15763365,11020033
52,10248861,15787750,11732616
53,11696971,16416502,11510566
54,9959973,15154357,10736904
55,15795725,18424779,10629637
56,10103779,14590953,10702883
57,9888935,15839711,11872210
58,13252067,18229462,11080600
59,13798353,16926950,11112727
60,10106263,15593788,12241587
61,10113006,14742599,10529267
62,9948793,15476758,22289776
63,15032541,17288284,11097044
64,9640374,15227627,10578383
65,12120706,16647810,11413609
66,15702337,18844636,11716363
67,9815186,15311782,10964398
68,9651622,14467544,12034800
69,11875288,15388978,10816355
70,12985205,17161650,10956227
71,19591729,20484216,11072869
72,16998554,19366041,11980474
73,12035632,17017357,12626522
74,10664504,16397496,11932301
75,12005013,16630127,13155738
76,9659235,16534857,10906850
77,10527620,14630872,11760513
78,14749294,17920905,12511354
79,16775573,19065508,11028454
80,10634889,15790781,11308819
81,13040044,17510332,11331083
82,15661775,18032100,11907755
83,11336581,17383649,10784326
84,10497969,15627660,12401404
85,9919766,14880289,10503649
86,13584894,17218664,11839460
87,12369357,15146474,12136624
88,13227150,17257606,11845529
89,13270246,17907716,12767947
90,10770578,17628595,12581944
91,10719185,16118923,12824717
92,14737324,18526300,14473892
93,25459540,20653351,11253422
94,12035280,16945078,10867572
95,19118449,18594957,11600532
96,10775375,16067178,14158660
97,22366089,19187928,14105608
98,14077382,17996614,10848726
99,11209715,16058823,11641581
100,10930796,15315292,11908280
1,145264983,10868547,57760124
2,26671209,14620373,17938896
3,10941270,14919320,12401554
4,6523799,14215425,10344918
5,8113413,14285988,10406407
6,7869218,15236696,10163343
7,7794025,15611607,10014286
8,7521323,15805861,9998020
9,8699959,15977683,9960670
10,7926935,16692405,10106700
11,8496683,14833479,9825919
12,8136222,16870393,9702728
13,8735136,16518275,9810543
14,9217798,16674281,9739763
15,9313400,15867757,9900518
16,8661104,16303060,9878291
17,8501865,15639716,9799828
18,8482479,14641663,9859372
19,9868962,16753345,10098664
20,9436212,15304871,9915088
21,9887803,16446769,9818869
22,8699864,14639449,9719321
23,9785496,16462609,10536168
24,8477875,14621818,10650476
25,9920265,16977834,10039055
26,10822031,17300771,10527465
27,10615566,17266941,10898966
28,10623716,17591249,9921455
29,9260927,14882503,10592863
30,13645335,17968368,11236924
31,9578554,15180766,10656468
32,10548328,17228142,10469402
33,11260432,18115783,10821872
34,10584006,15839583,10828187
35,9258352,15640521,11201775
36,9517446,15007340,9920468
37,11643739,16680902,9865745
38,12088014,16522741,10293830
39,10458353,17300578,9762764
40,12345705,18049224,10319991
41,11795569,17562091,11001766
42,12665913,19083881,10090590
43,9465589,17265683,10077287
44,12370370,17720361,10058131
45,13402048,19802861,10291692
46,8739116,15005339,9790199
47,10671905,17436456,10143712
48,10308421,15350868,12289367
49,15489662,19752573,10607422
50,11719668,18145224,9791954
51,9663911,17944679,12383463
52,14150329,18326468,10264364
53,15663900,18597636,10638187
54,10416766,16719401,10305247
55,13632550,20167073,11616953
56,17693438,17595933,10123041
57,9368736,15247657,9969734
58,15439867,18715026,10402284
59,9104541,16677930,10228365
60,9279961,16099320,10493881
61,13189197,18315788,10394429
62,11011513,16048171,36769651
63,10851355,15201574,12349468
64,14591366,18030398,10764431
65,15409280,19818762,10455849
66,9663139,15100413,10121955
67,13252060,19411796,10012243
68,9898067,15572278,10317097
